            -0.020000000000000 143986041591003348992.000000000000000 143986041591003348992.000000000000000            795.279283555324923
            -0.019900000000000 128307261549620740096.000000000000000 128307261549620740096.000000000000000            859.570856647673622
            -0.019800000000000 114335759108690837504.000000000000000 114335759108690837504.000000000000000            928.697897435143545
            -0.019700000000000 101885627150610972672.000000000000000 101885627150610972672.000000000000000           1002.993246855271764
            -0.019600000000000 90791202164540162048.000000000000000 90791202164540162048.000000000000000           1082.810160685312439
            -0.019500000000000 80904859900378726400.000000000000000 80904859900378726400.000000000000000           1168.523370308417043
            -0.019400000000000 72095051056129105920.000000000000000 72095051056129105920.000000000000000           1260.530184628587449
            -0.019300000000000 64244550861172293632.000000000000000 64244550861172293632.000000000000000           1359.251633731886614
            -0.019200000000000 57248899264117645312.000000000000000 57248899264117645312.000000000000000           1465.133654820633410
            -0.019100000000000 51015010970119077888.000000000000000 51015010970119077888.000000000000000           1578.648320868995370
            -0.019000000000000 45459936832577486848.000000000000000 45459936832577486848.000000000000000           1700.295112362768805
            -0.018900000000000 40509760118103203840.000000000000000 40509760118103203840.000000000000000           1830.602232392339602
            -0.018800000000000 36098612958262378496.000000000000000 36098612958262378496.000000000000000           1970.127965266025285
            -0.018700000000000 32167799900846223360.000000000000000 32167799900846219264.000000000000000           2119.462078700819802
            -0.018600000000000 28665016898496765952.000000000000000 28665016898496761856.000000000000000           2279.227269528446413
            -0.018500000000000 25543655342418575360.000000000000000 25543655342418571264.000000000000000           2450.080652726935568
            -0.018400000000000 22762181880537661440.000000000000000 22762181880537657344.000000000000000           2632.715293450838089
            -0.018300000000000 20283585767862992896.000000000000000 20283585767862988800.000000000000000           2827.861781587055248
            -0.018200000000000 18074886395404550144.000000000000000 18074886395404548096.000000000000000           3036.289848207180967
            -0.018100000000000 16106694444746622976.000000000000000 16106694444746618880.000000000000000           3258.810023122072380
            -0.018000000000000 14352820828925794304.000000000000000 14352820828925790208.000000000000000           3496.275332569077364
            -0.017900000000000 12789928216117483520.000000000000000 12789928216117479424.000000000000000           3749.583035877119073
            -0.017800000000000 11397220499246008320.000000000000000 11397220499246004224.000000000000000           4019.676399760196546
            -0.017700000000000 10156166079551690752.000000000000000 10156166079551686656.000000000000000           4307.546508684624314
            -0.017600000000000 9050251282078802944.000000000000000 9050251282078797824.000000000000000           4614.234109540741883
            -0.017500000000000 8064760621990980608.000000000000000 8064760621990975488.000000000000000           4940.831488625083693
            -0.017400000000000 7186580997900989440.000000000000000 7186580997900984320.000000000000000           5288.484378704635674
            -0.017300000000000 6404027206779175936.000000000000000 6404027206779169792.000000000000000           5658.393893690822551
            -0.017200000000000 5706686458713279488.000000000000000 5706686458713273344.000000000000000           6051.818488197377519
            -0.017100000000000 5085279822607190016.000000000000000 5085279822607183872.000000000000000           6470.075938993877571
            -0.017000000000000 4531538759192079360.000000000000000 4531538759192072192.000000000000000           6914.545345095227276
            -0.016900000000000 4038095098478181376.000000000000000 4038095098478174208.000000000000000           7386.669142947692308
            -0.016800000000000 3598382997668691968.000000000000000 3598382997668684288.000000000000000           7887.955132884048908
            -0.016700000000000 3206551574971811840.000000000000000 3206551574971803648.000000000000000           8419.978512725050678
            -0.016600000000000 2857387056801797632.000000000000000 2857387056801788416.000000000000000           8984.383914102172639
            -0.016500000000000 2546243402447141888.000000000000000 2546243402447132160.000000000000000           9582.887436767197869
            -0.016400000000000 2268980483085912576.000000000000000 2268980483085902336.000000000000000          10217.278675840601863
            -0.016300000000000 2021908992548356352.000000000000000 2021908992548345344.000000000000000          10889.422736630072905
            -0.016200000000000 1801741356799990272.000000000000000 1801741356799978752.000000000000000          11601.262231327913469
            -0.016100000000000 1605547988938878720.000000000000000 1605547988938866432.000000000000000          12354.819251568500476
            -0.016000000000000 1430718307628798208.000000000000000 1430718307628785152.000000000000000          13152.197310498138904
            -0.015900000000000 1274926000273006080.000000000000000 1274926000272992000.000000000000000          13995.583247679422129
            -0.015800000000000 1136098068714898432.000000000000000 1136098068714883584.000000000000000          14887.249089821500093
            -0.015700000000000 1012387245582355456.000000000000000 1012387245582339584.000000000000000          15829.553859998126427
            -0.015600000000000 902147414243194112.000000000000000 902147414243177344.000000000000000          16824.945327689161786
            -0.015500000000000 803911705305529472.000000000000000 803911705305511552.000000000000000          17875.961691656415496
            -0.015400000000000 716372978211551232.000000000000000 716372978211532288.000000000000000          18985.233187348003412
            -0.015300000000000 638366428209484288.000000000000000 638366428209464192.000000000000000          20155.483610212577332
            -0.015200000000000 568854087269320128.000000000000000 568854087269298752.000000000000000          21389.531746001171996
            -0.015100000000000 506911012708864768.000000000000000 506911012708842048.000000000000000          22690.292698841109086
            -0.015000000000000 451712979753756544.000000000000000 451712979753732480.000000000000000          24060.779107583388395
            -0.014900000000000 402525514266557568.000000000000000 402525514266532032.000000000000000          25504.102240655229252
            -0.014800000000000 358694119712662592.000000000000000 358694119712635584.000000000000000          27023.472959395312500
            -0.014700000000000 319635568321367296.000000000000000 319635568321338688.000000000000000          28622.202539610891108
            -0.014600000000000 284830140560894816.000000000000000 284830140560864512.000000000000000          30303.703340876556467
            -0.014500000000000 253814709664511712.000000000000000 253814709664479648.000000000000000          32071.489312896013871
            -0.014400000000000 226176579189335712.000000000000000 226176579189301792.000000000000000          33929.176328070570889
            -0.014300000000000 201547991609339968.000000000000000 201547991609304096.000000000000000          35880.482329267302703
            -0.014200000000000 179601234873013664.000000000000000 179601234872975744.000000000000000          37929.227281652616512
            -0.014100000000000 160044281812713952.000000000000000 160044281812673888.000000000000000          40079.332917360305146
