            -0.020000000000000 143986041591003348992.000000000000000 143986041591003348992.000000000000000           3402.667689724084994
            -0.019900000000000 128307261549620740096.000000000000000 128307261549620740096.000000000000000           3610.379234594311129
            -0.019800000000000 114335759108690837504.000000000000000 114335759108690837504.000000000000000           3829.632667581448459
            -0.019700000000000 101885627150610972672.000000000000000 101885627150610972672.000000000000000           4060.994737134333263
            -0.019600000000000 90791202164540162048.000000000000000 90791202164540162048.000000000000000           4305.055406986745766
            -0.019500000000000 80904859900378726400.000000000000000 80904859900378726400.000000000000000           4562.428536836801868
            -0.019400000000000 72095051056129114112.000000000000000 72095051056129105920.000000000000000           4833.752567501188423
            -0.019300000000000 64244550861172301824.000000000000000 64244550861172293632.000000000000000           5119.691209556143804
            -0.019200000000000 57248899264117653504.000000000000000 57248899264117645312.000000000000000           5420.934134410684237
            -0.019100000000000 51015010970119086080.000000000000000 51015010970119077888.000000000000000           5738.197666689074140
            -0.019000000000000 45459936832577495040.000000000000000 45459936832577486848.000000000000000           6072.225476730621267
            -0.018900000000000 40509760118103212032.000000000000000 40509760118103203840.000000000000000           6423.789271943936001
            -0.018800000000000 36098612958262386688.000000000000000 36098612958262378496.000000000000000           6793.689485681304177
            -0.018700000000000 32167799900846227456.000000000000000 32167799900846219264.000000000000000           7182.755962226400698
            -0.018600000000000 28665016898496770048.000000000000000 28665016898496761856.000000000000000           7591.848636414853900
            -0.018500000000000 25543655342418579456.000000000000000 25543655342418571264.000000000000000           8021.858206333597082
            -0.018400000000000 22762181880537665536.000000000000000 22762181880537657344.000000000000000           8473.706797470043966
            -0.018300000000000 20283585767862996992.000000000000000 20283585767862988800.000000000000000           8948.348616608162047
            -0.018200000000000 18074886395404558336.000000000000000 18074886395404548096.000000000000000           9446.770593692472175
            -0.018100000000000 16106694444746629120.000000000000000 16106694444746618880.000000000000000           9969.993009807636554
            -0.018000000000000 14352820828925800448.000000000000000 14352820828925790208.000000000000000          10519.070109345933815
            -0.017900000000000 12789928216117489664.000000000000000 12789928216117479424.000000000000000          11095.090694361359056
            -0.017800000000000 11397220499246016512.000000000000000 11397220499246004224.000000000000000          11699.178699036197941
            -0.017700000000000 10156166079551698944.000000000000000 10156166079551686656.000000000000000          12332.493742113454573
            -0.017600000000000 9050251282078811136.000000000000000 9050251282078797824.000000000000000          12996.231655078006952
            -0.017500000000000 8064760621990988800.000000000000000 8064760621990975488.000000000000000          13691.624983799893016
            -0.017400000000000 7186580997900998656.000000000000000 7186580997900984320.000000000000000          14419.943461285769445
            -0.017300000000000 6404027206779185152.000000000000000 6404027206779169792.000000000000000          15182.494449119221827
            -0.017200000000000 5706686458713289728.000000000000000 5706686458713273344.000000000000000          15980.623345107411296
            -0.017100000000000 5085279822607200256.000000000000000 5085279822607183872.000000000000000          16815.713954591450602
            -0.017000000000000 4531538759192090112.000000000000000 4531538759192072192.000000000000000          17689.188822820211499
            -0.016900000000000 4038095098478192640.000000000000000 4038095098478174208.000000000000000          18602.509525734076306
            -0.016800000000000 3598382997668703744.000000000000000 3598382997668684288.000000000000000          19557.176916453310696
            -0.016700000000000 3206551574971824128.000000000000000 3206551574971803648.000000000000000          20554.731324720931298
            -0.016600000000000 2857387056801809920.000000000000000 2857387056801788416.000000000000000          21596.752706506511458
            -0.016500000000000 2546243402447154688.000000000000000 2546243402447132160.000000000000000          22684.860740940228425
            -0.016400000000000 2268980483085926144.000000000000000 2268980483085902336.000000000000000          23820.714871714750188
            -0.016300000000000 2021908992548370432.000000000000000 2021908992548345344.000000000000000          25006.014290063540102
            -0.016200000000000 1801741356800005120.000000000000000 1801741356799978752.000000000000000          26242.497856404184859
            -0.016100000000000 1605547988938894080.000000000000000 1605547988938866432.000000000000000          27531.943957719115133
            -0.016000000000000 1430718307628814080.000000000000000 1430718307628785152.000000000000000          28876.170297736684006
            -0.015900000000000 1274926000273022208.000000000000000 1274926000272992000.000000000000000          30277.033616973461903
            -0.015800000000000 1136098068714915328.000000000000000 1136098068714883584.000000000000000          31736.429339702644938
            -0.015700000000000 1012387245582372864.000000000000000 1012387245582339584.000000000000000          33256.291144925453409
            -0.015600000000000 902147414243212160.000000000000000 902147414243177344.000000000000000          34838.590458442304225
            -0.015500000000000 803911705305548032.000000000000000 803911705305511552.000000000000000          36485.335863147054624
            -0.015400000000000 716372978211570432.000000000000000 716372978211532288.000000000000000          38198.572424704936566
            -0.015300000000000 638366428209504128.000000000000000 638366428209464192.000000000000000          39980.380929817933065
            -0.015200000000000 568854087269340608.000000000000000 568854087269298752.000000000000000          41832.877034335317148
            -0.015100000000000 506911012708885824.000000000000000 506911012708842048.000000000000000          43758.210318529505457
            -0.015000000000000 451712979753778240.000000000000000 451712979753732480.000000000000000          45758.563246930076275
            -0.014900000000000 402525514266579840.000000000000000 402525514266532032.000000000000000          47836.150030188895471
            -0.014800000000000 358694119712685568.000000000000000 358694119712635584.000000000000000          49993.215386543117347
            -0.014700000000000 319635568321390912.000000000000000 319635568321338688.000000000000000          52232.033200542340637
            -0.014600000000000 284830140560919072.000000000000000 284830140560864512.000000000000000          54554.905076820185059
            -0.014500000000000 253814709664536608.000000000000000 253814709664479648.000000000000000          56964.158786812120525
            -0.014400000000000 226176579189361248.000000000000000 226176579189301792.000000000000000          59462.146606454261928
            -0.014300000000000 201547991609366144.000000000000000 201547991609304096.000000000000000          62051.243543043536192
            -0.014200000000000 179601234873040480.000000000000000 179601234872975744.000000000000000          64733.845449591375655
            -0.014100000000000 160044281812741408.000000000000000 160044281812673888.000000000000000          67512.367025171915884
